JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
10,DevOps Engineer - Experienced,Experienced,4–8 years,AWS; Azure; GCP; Terraform; Ansible; Jenkins; GitLab CI; CircleCI; Kubernetes; Helm; Docker Swarm; Puppet; Chef; Prometheus; ELK stack; Grafana; DevSecOps; Linux/Unix; API automation; Microservices,"Design, implement, and manage scalable cloud infrastructure; Lead automated CI/CD pipelines; Manage Kubernetes clusters; Ensure DevSecOps compliance",DevOps; Cloud; Experienced; Senior-Level; CI/CD; Containerization; Automation; DevSecOps
DMS-F-001,Digital Marketing Specialist,Fresher,0-1,"Google Ads basics; Facebook Ads Manager basics; Instagram marketing basics; LinkedIn marketing basics; SEO fundamentals; SEM basics; Content creation; Copywriting; Blogging; Email marketing tools (Mailchimp, HubSpot) basics; Google Analytics basics; CMS (WordPress) basics; Creativity; Communication; Teamwork; Adaptability",Assist in planning and executing digital campaigns; Create content for social media and blogs; Support SEO and SEM optimization efforts; Assist with email marketing campaigns; Track and report basic analytics; Collaborate with team members for campaign support,Digital Marketing; SEO; SEM; Google Ads; Social Media Marketing; Content Creation; Email Marketing; Google Analytics; CMS; Marketing Tools
DMS-F-002,Digital Marketing Specialist,Fresher,0-1,SEO and SEM fundamentals; Content creation; Social media marketing basics; Email marketing basics; Google Analytics basics; CMS tools; Creativity; Team collaboration; Communication skills; Adaptability,Support digital marketing campaigns; Create content for social media and websites; Assist with SEO and SEM tasks; Monitor basic analytics metrics; Help with email marketing initiatives; Collaborate with team members,Digital Marketing; SEO; SEM; Content Creation; Social Media; Email Marketing; Analytics; Teamwork
DMS-F-003,Digital Marketing Specialist,Fresher,0-1,"Google Ads; Facebook Ads Manager; Instagram, LinkedIn basics; SEO/SEM fundamentals; Blogging and copywriting; Email marketing basics; Google Analytics basics; CMS (WordPress); Basic marketing automation; Creativity; Communication; Teamwork",Assist in campaign execution; Create marketing content; Support SEO/SEM optimization; Track analytics and metrics; Manage basic email marketing tasks; Collaborate with team on marketing projects,Digital Marketing; SEO; SEM; Google Ads; Content Creation; Email Marketing; Analytics; Social Media
DMS-F-004,Digital Marketing Specialist,Fresher,0-1,Digital advertising basics; SEO and SEM fundamentals; Social media marketing; Content creation and copywriting; Email marketing tools basics; Google Analytics basics; CMS knowledge; Creativity; Communication; Team collaboration; Adaptability,Support digital campaign creation; Assist in content and social media management; Monitor analytics metrics; Help with email marketing campaigns; Collaborate with team members; Assist with SEO/SEM tasks,Digital Marketing; SEO; SEM; Content Creation; Email Marketing; Social Media Marketing; Google Analytics; CMS
DMS-F-005,Digital Marketing Specialist,Fresher,0-1,"Google Ads and Facebook Ads basics; Instagram and LinkedIn marketing basics; SEO fundamentals; SEM basics; Content creation and copywriting; Email marketing (Mailchimp, HubSpot basics); Google Analytics; CMS tools (WordPress); Creativity; Communication; Teamwork; Adaptability",Assist in executing digital campaigns; Create and manage content for social media and websites; Support SEO/SEM optimization; Assist in email marketing tasks; Analyze basic marketing metrics; Collaborate with marketing team,Digital Marketing; SEO; SEM; Google Ads; Content Creation; Email Marketing; Social Media Marketing; Analytics
DMS-E-006,Digital Marketing Specialist,Experienced,5-Mar,"Advanced digital marketing strategies; SEO and SEM optimization; PPC campaigns; Multi-channel campaign management; Content creation and social media marketing; Email automation; Analytics and reporting (Google Analytics, Tableau, Mixpanel); Lead generation and nurturing; Marketing automation tools (HubSpot, Marketo, Salesforce); Brand strategy; UX design integration; Team leadership; Budget management; Data-driven marketing",Plan and execute multi-channel digital campaigns; Optimize SEO/SEM and PPC campaigns; Manage content and social media strategy; Lead email marketing automation initiatives; Analyze and report campaign performance; Develop lead generation and nurturing strategies; Oversee brand strategy and UX integration; Coordinate marketing team and manage budgets,Marketing Strategy; Campaign Management; A/B Testing; Conversion Rate Optimization; Marketing Automation; Lead Generation; Brand Management; Data-Driven Marketing
DMS-E-007,Digital Marketing Specialist,Experienced,6-Apr,"Digital marketing strategy; Multi-channel campaign management; SEO/SEM/PPC optimization; Content marketing; Social media marketing; Email automation; Marketing analytics and reporting; Lead generation and nurturing; CRM tools (HubSpot, Salesforce, Marketo); Brand management; UX integration; Team leadership; Budget management; Data-driven marketing",Develop and implement marketing strategies; Manage multi-channel campaigns; Optimize SEO/SEM and PPC performance; Lead content and social media marketing; Implement email automation campaigns; Analyze performance metrics; Drive lead generation and nurturing; Manage brand strategy and UX design integration; Coordinate team and manage marketing budget,Marketing Strategy; Campaign Management; SEO; SEM; PPC; Lead Generation; Marketing Automation; Brand Management; Data-Driven Marketing
DMS-E-008,Digital Marketing Specialist,Experienced,7-May,"Advanced digital campaigns; SEO, SEM, PPC; Content and social media marketing; Email marketing automation; Marketing analytics (Google Analytics, Tableau, Mixpanel); Lead generation; CRM and marketing automation tools; Brand strategy and UX design; Multi-channel campaign integration; Team leadership; Budget management; Data-driven decision making",Lead multi-channel digital campaigns; Optimize SEO/SEM/PPC performance; Oversee content and social media strategy; Manage email automation workflows; Analyze campaign performance and report ROI; Develop lead generation strategies; Integrate UX and brand strategy; Manage marketing team and budget,Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Analytics; Lead Generation; Marketing Automation; Brand Management
DMS-E-009,Digital Marketing Specialist,Experienced,8-Jun,"Digital marketing strategy; SEO, SEM, PPC optimization; Content and social media campaigns; Email marketing automation; Marketing analytics and reporting; Lead generation and nurturing; CRM tools (HubSpot, Marketo, Salesforce); Brand and UX strategy; Multi-channel campaign coordination; Team management; Budget and ROI optimization; Emerging marketing technologies (AI-driven personalization)",Plan and execute digital marketing strategy; Manage SEO/SEM and PPC campaigns; Oversee content and social media campaigns; Implement email automation workflows; Analyze campaign data and optimize performance; Lead lead generation initiatives; Integrate UX and brand strategy; Coordinate campaigns across channels; Manage team and budget; Adopt AI-driven personalization tools,Marketing Strategy; Campaign Management; SEO; SEM; PPC; Lead Generation; Marketing Automation; Brand Management; Data-Driven Marketing; AI Marketing Tools
DMS-E-010,Digital Marketing Specialist,Experienced,10-Jul,"Advanced digital marketing campaigns; SEO/SEM/PPC optimization; Content marketing strategy; Social media marketing; Email automation and personalization; Marketing analytics (Tableau, Mixpanel, GA); Lead generation and nurturing; Brand management and UX integration; Multi-channel campaign management; Team leadership; Budget planning; AI-powered marketing tools; Data-driven marketing",Lead strategic digital marketing campaigns; Optimize SEO/SEM and PPC efforts; Oversee content and social media strategy; Implement email automation and personalization; Analyze performance metrics and optimize ROI; Develop lead generation campaigns; Integrate brand strategy and UX design; Manage multi-channel campaigns; Lead marketing team; Plan and optimize marketing budgets; Leverage AI-powered tools,Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Analytics; Lead Generation; Brand Management; AI Marketing Tools
DMS-E-011,Digital Marketing Specialist,Experienced,7-May,"Digital strategy development; SEO and SEM optimization; PPC campaigns management; Content marketing strategy; Social media campaigns; Email automation tools (HubSpot, Marketo); Analytics and reporting (GA, Tableau, Mixpanel); Lead generation and nurturing; Brand management; UX design integration; Team leadership; Budget planning; Data-driven marketing; AI-driven marketing strategies","Plan and execute advanced digital marketing strategies; Manage SEO, SEM, and PPC campaigns; Oversee content creation and social media marketing; Implement email automation and personalization campaigns; Analyze performance metrics and report results; Develop and manage lead generation programs; Integrate brand strategy and UX design; Lead cross-functional marketing teams; Manage budgets and optimize ROI; Leverage AI-driven marketing tools for campaign optimization",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Management; UX Design; AI Marketing Tools
DMS-E-012,Digital Marketing Specialist,Experienced,8-Jun,"Multi-channel marketing strategy; Advanced SEO and SEM; PPC campaign optimization; Content and social media marketing; Email marketing automation; Marketing analytics (GA, Tableau, Mixpanel); CRM tools (HubSpot, Salesforce); Lead generation and nurturing; Brand strategy; UX/UI integration; Team management; Budget optimization; AI-powered marketing solutions; Data-driven decision making","Develop and execute multi-channel marketing campaigns; Optimize SEO, SEM, and PPC performance; Manage content creation and social media strategy; Implement automated email campaigns; Analyze marketing data to inform decisions; Oversee lead generation and nurturing processes; Integrate UX and brand strategy; Lead marketing teams; Manage budgets and ROI; Adopt AI-powered tools for campaign improvement",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Management; UX Integration; AI Marketing Tools; Analytics
DMS-E-013,Digital Marketing Specialist,Experienced,10-Jul,"Strategic digital marketing planning; SEO/SEM/PPC optimization; Content and social media campaigns; Email automation and personalization; Advanced analytics (Google Analytics, Tableau, Mixpanel); Lead generation and CRM management; Brand strategy; UX/UI integration; Cross-channel campaign management; Team leadership; Budget and ROI management; AI-driven marketing strategies; Data-driven campaign optimization","Lead strategy for digital marketing campaigns; Optimize SEO, SEM, and PPC campaigns; Oversee content and social media marketing initiatives; Manage automated and personalized email campaigns; Analyze marketing performance data and report insights; Drive lead generation and CRM strategies; Implement brand strategy and UX integration; Manage multi-channel campaigns and marketing teams; Plan and control budgets and ROI; Incorporate AI-driven solutions into campaigns",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX/UI Integration; AI Marketing Tools; Analytics
DMS-E-014,Digital Marketing Specialist,Experienced,8-May,"Digital campaign strategy; SEO/SEM/PPC management; Content marketing and social media strategy; Email marketing automation; Marketing analytics and reporting; Lead generation and nurturing; CRM and automation tools (HubSpot, Marketo, Salesforce); Brand strategy; UX and UI design integration; Team leadership; Budget management; Data-driven marketing decisions; AI marketing tools; Conversion rate optimization","Plan and implement strategic digital marketing campaigns; Optimize SEO, SEM, and PPC performance; Oversee content and social media marketing; Manage automated email campaigns; Analyze performance metrics to optimize campaigns; Drive lead generation and CRM efforts; Integrate brand and UX/UI strategies; Lead marketing teams; Manage budget and track ROI; Implement AI-driven marketing solutions; Improve conversion rates through data insights",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX/UI; AI Marketing Tools; Analytics; Conversion Optimization
DMS-E-015,Digital Marketing Specialist,Experienced,10-Jun,"Advanced digital marketing strategy; SEO, SEM, PPC campaigns; Content and social media marketing; Email automation; Marketing analytics (GA, Tableau, Mixpanel); Lead generation and CRM management; Brand strategy and UX integration; Cross-channel campaign coordination; Team leadership; Budget planning and ROI optimization; AI-driven marketing solutions; Data-driven campaign strategies; Emerging marketing technologies","Lead digital marketing strategy and campaigns; Optimize SEO, SEM, and PPC performance; Manage content creation and social media initiatives; Implement automated and personalized email campaigns; Analyze marketing performance and provide insights; Oversee lead generation and CRM processes; Integrate brand strategy and UX across campaigns; Coordinate cross-channel campaigns; Lead marketing teams; Manage budgets and maximize ROI; Leverage AI and emerging technologies in marketing; Optimize campaigns using data-driven strategies",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX Integration; AI Marketing Tools; Analytics; Campaign Optimization
DMS-E-016,Digital Marketing Specialist,Experienced,7-May,"Digital marketing strategy; SEO, SEM, PPC optimization; Content and social media campaigns; Email marketing automation; Marketing analytics and reporting; Lead generation and CRM tools; Brand and UX strategy; Multi-channel campaign management; Team leadership; Budget optimization; AI-driven personalization; Data-driven marketing; Emerging marketing technologies","Plan and execute digital marketing strategies; Optimize SEO, SEM, PPC campaigns; Oversee content and social media marketing initiatives; Manage automated email campaigns; Analyze campaign performance metrics; Implement lead generation strategies using CRM tools; Integrate brand strategy and UX design; Manage multi-channel campaigns and teams; Plan and optimize marketing budget; Incorporate AI-driven personalization and emerging tools; Make data-driven marketing decisions",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX/UI Integration; AI Marketing Tools; Analytics; Emerging Technologies
DMS-E-017,Digital Marketing Specialist,Experienced,9-Jun,"Strategic digital marketing planning; SEO/SEM/PPC campaign management; Content marketing and social media strategy; Email automation; Marketing analytics (GA, Tableau, Mixpanel); Lead generation and CRM integration; Brand strategy and UX design integration; Cross-channel campaign coordination; Team leadership and mentorship; Budget management; AI-driven marketing and personalization; Data-driven optimization; Emerging marketing technologies","Lead strategic digital marketing campaigns; Manage SEO, SEM, PPC performance; Oversee content creation and social media strategy; Implement automated email campaigns; Analyze marketing performance and optimize ROI; Manage lead generation and CRM initiatives; Integrate brand strategy and UX design; Coordinate cross-channel campaigns; Lead and mentor marketing teams; Manage budgets and track performance; Apply AI-driven personalization strategies; Adopt emerging marketing technologies",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX/UI Integration; AI Marketing Tools; Analytics; Emerging Technologies
DMS-E-018,Digital Marketing Specialist,Experienced,10-Jul,"Advanced digital marketing campaigns; SEO, SEM, PPC optimization; Content marketing and social media strategy; Email marketing automation; Analytics and reporting (GA, Tableau, Mixpanel); Lead generation and CRM tools; Brand management and UX integration; Multi-channel campaign coordination; Team leadership; Budget management and ROI optimization; AI-driven personalization and marketing automation; Data-driven strategy implementation; Emerging marketing technologies","Lead and manage digital marketing campaigns; Optimize SEO, SEM, and PPC performance; Oversee content and social media marketing strategy; Manage automated and personalized email campaigns; Analyze analytics and reporting data; Drive lead generation and CRM integration; Implement brand management and UX design integration; Coordinate multi-channel campaigns; Lead marketing team and manage budget; Incorporate AI-driven personalization and marketing automation; Adopt emerging marketing technologies; Implement data-driven strategies",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Management; UX Integration; AI Marketing Tools; Analytics; Emerging Technologies
DMS-E-019,Digital Marketing Specialist,Experienced,8-May,Digital marketing strategy; SEO/SEM/PPC optimization; Content creation and social media marketing; Email marketing automation; Analytics and reporting; Lead generation and CRM tools; Brand management and UX integration; Cross-channel campaign management; Team leadership; Budget optimization; AI-driven marketing; Data-driven decisions; Emerging marketing technologies,"Plan and execute digital marketing campaigns; Optimize SEO, SEM, and PPC performance; Oversee content and social media marketing initiatives; Implement automated email campaigns; Analyze performance metrics and report; Manage lead generation and CRM initiatives; Integrate brand and UX strategy across channels; Coordinate campaigns across multiple channels; Lead marketing teams; Manage budgets and ROI; Leverage AI-driven marketing; Adopt emerging marketing technologies; Make data-driven decisions",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Management; UX/UI Integration; AI Marketing Tools; Analytics; Emerging Technologies
DMS-E-020,Digital Marketing Specialist,Experienced,10-Jun,"Strategic digital marketing planning; SEO, SEM, PPC campaigns; Content and social media marketing; Email automation and personalization; Analytics (GA, Tableau, Mixpanel); Lead generation and CRM integration; Brand strategy and UX design; Multi-channel campaign management; Team leadership and mentoring; Budget management and ROI tracking; AI-driven marketing and personalization; Data-driven optimization; Emerging marketing technologies","Lead strategic digital marketing campaigns; Manage SEO, SEM, and PPC campaigns; Oversee content creation and social media strategy; Implement email automation and personalization campaigns; Analyze campaign performance and optimize; Drive lead generation and CRM integration; Integrate brand strategy and UX design; Manage multi-channel campaigns; Lead and mentor marketing teams; Manage budgets and track ROI; Implement AI-driven personalization; Adopt emerging marketing technologies; Use data-driven approaches for optimization",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX/UI Integration; AI Marketing Tools; Analytics; Emerging Technologies
ETH-F-001,Ethical Hacker,Fresher,0-1,Python basics; Bash scripting basics; Networking fundamentals; Linux (Kali/Parrot OS) basics; Windows security basics; Introduction to penetration testing; Basic vulnerability assessment; Web application security basics; Familiarity with Nmap and Wireshark; Basic cryptography understanding; Problem-solving; Communication; Ethical awareness,Assist in penetration testing projects; Perform basic vulnerability assessments; Support security audits; Learn and apply ethical hacking methodologies under supervision; Document findings and workflows; Follow organizational ethical and legal standards,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Nmap; Wireshark; Cryptography; Web Security
ETH-F-002,Ethical Hacker,Fresher,0-1,Python basics; Bash scripting basics; Networking fundamentals; Linux (Kali Linux/Parrot OS) basics; Windows security basics; Introduction to penetration testing; Vulnerability scanning basics; Web application security basics; Familiarity with Metasploit and Burp Suite; Cryptography fundamentals; Problem-solving; Communication; Ethical compliance,Assist in ethical hacking projects; Perform vulnerability scanning; Support penetration tests under supervision; Document test procedures and results; Learn to use security tools effectively; Follow high ethical and legal standards,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Web Security
ETH-F-003,Ethical Hacker,Fresher,0-1,"Python basics; Bash scripting basics; Networking basics; Linux/Windows OS fundamentals; Introductory penetration testing; Vulnerability assessment; Web app security basics; Familiarity with Nmap, SQLMap; Basic cryptography knowledge; Analytical thinking; Communication; Ethical awareness",Support penetration testing engagements; Perform basic vulnerability analysis; Assist in web application security testing; Document findings and test workflows; Follow ethical hacking guidelines and organizational policies,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Nmap; SQLMap; Cryptography; Web Security
ETH-F-004,Ethical Hacker,Fresher,0-1,"Python basics; Bash scripting basics; Networking fundamentals; Linux and Windows OS basics; Introduction to penetration testing; Vulnerability scanning; Web application security basics; Familiarity with Metasploit, Wireshark; Cryptography fundamentals; Problem-solving; Teamwork; Ethical awareness",Assist in penetration testing and security audit projects; Perform basic vulnerability scans; Support ethical hacking exercises; Document test cases and findings; Follow legal and ethical security standards,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Wireshark; Cryptography; Web Security
ETH-F-005,Ethical Hacker,Fresher,0-1,"Python basics; Bash scripting; Networking fundamentals; Linux (Kali Linux/Parrot OS) basics; Windows security basics; Penetration testing fundamentals; Vulnerability assessment basics; Web application security; Basic knowledge of Nmap, Burp Suite; Cryptography fundamentals; Problem-solving; Communication; Ethical mindset",Assist in penetration testing projects; Perform basic vulnerability assessments; Support ethical hacking exercises; Document findings and workflows; Follow organizational ethical and legal standards; Learn security tools and frameworks under supervision,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Nmap; Burp Suite; Cryptography; Web Security
ETH-E-006,Ethical Hacker,Experienced,3+,"Advanced Python, C/C++; Bash, PowerShell scripting; Advanced networking; Linux (Kali, Parrot) expert; Windows security and AD; Penetration testing and vulnerability assessment; Web application security; Metasploit, Burp Suite, Nmap, Wireshark; Cryptography, SSL/TLS; Malware analysis; Reverse engineering; Compliance and risk assessment; Problem-solving; Leadership; Communication",Lead penetration testing projects; Conduct advanced vulnerability assessments; Perform web and network security audits; Develop and implement security testing frameworks; Mentor junior ethical hackers; Ensure compliance with legal and ethical standards; Analyze malware and perform reverse engineering when necessary,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-007,Ethical Hacker,Experienced,4+,"Python, C/C++, JavaScript; Bash, PowerShell scripting; Network security expert; Linux (Kali/Parrot) advanced; Windows security and Active Directory; Penetration testing; Vulnerability assessment; Web app security testing; Metasploit, Nmap, Burp Suite, SQLMap; Cryptography, SSL/TLS; Malware analysis; Risk assessment; Leadership; Analytical thinking; Communication",Conduct and lead penetration testing assignments; Identify vulnerabilities in network and web systems; Perform security audits and risk assessments; Implement and improve security frameworks; Mentor junior ethical hackers and security teams; Ensure adherence to ethical and legal guidelines; Analyze malware and perform reverse engineering tasks,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-008,Ethical Hacker,Experienced,5+,"Advanced Python, C/C++, JavaScript; Bash, PowerShell scripting; Network and web security; Linux expert; Windows security and AD; Penetration testing; Vulnerability assessment; Metasploit, Burp Suite, Nmap, Wireshark; Cryptography, SSL/TLS; Malware analysis and reverse engineering; Security frameworks (NIST, ISO); Leadership; Problem-solving; Communication; Compliance awareness",Lead complex penetration testing engagements; Perform advanced vulnerability assessments; Conduct web application and network security audits; Mentor junior ethical hackers; Ensure organizational compliance with security frameworks; Perform malware analysis and reverse engineering; Provide actionable recommendations for risk mitigation,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-009,Ethical Hacker,Experienced,6+,"Advanced Python, C/C++, JavaScript; Bash, PowerShell scripting; Network and application security; Linux expert; Windows security and Active Directory; Penetration testing and vulnerability assessment; Web application security; Metasploit, Burp Suite, Nmap, SQLMap; Cryptography, SSL/TLS; Malware analysis; Reverse engineering; Compliance (NIST, ISO); Leadership; Analytical thinking; Communication",Lead penetration testing and security assessment projects; Perform vulnerability assessments and exploit testing; Conduct web application and network security audits; Mentor and guide security teams; Ensure adherence to ethical and legal standards; Analyze malware and perform reverse engineering tasks; Recommend security improvements and mitigations,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-010,Ethical Hacker,Experienced,7+,"Advanced Python, C/C++, JavaScript; Bash, PowerShell scripting; Expert network security; Linux and Windows security expert; Penetration testing; Vulnerability assessment; Web application security; Metasploit, Nmap, Burp Suite, SQLMap, Wireshark; Cryptography and SSL/TLS; Malware analysis and reverse engineering; Compliance frameworks; Leadership; Problem-solving; Communication",Lead and manage penetration testing projects; Conduct advanced vulnerability assessments; Perform web and network security audits; Mentor junior ethical hackers; Ensure compliance with legal and ethical security standards; Analyze malware and reverse engineer threats; Provide recommendations for security improvement,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-011,Ethical Hacker,Experienced,8+,"Python, C/C++, JavaScript advanced; Bash, PowerShell scripting; Network penetration testing; Linux expert; Windows security and Active Directory; Web application and network security; Metasploit, Burp Suite, Nmap, SQLMap, Wireshark; Cryptography, SSL/TLS; Malware analysis and reverse engineering; Compliance (NIST, ISO); Leadership; Project management; Analytical thinking",Lead enterprise-level penetration testing projects; Perform advanced vulnerability assessments; Conduct security audits; Implement security policies and frameworks; Mentor and guide junior security staff; Analyze malware and perform reverse engineering; Ensure compliance with security regulations,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-012,Ethical Hacker,Experienced,9+,"Python, C/C++, JavaScript; Bash, PowerShell; Advanced network security; Linux and Windows expert; Penetration testing; Vulnerability assessment; Web security testing; Metasploit, Burp Suite, Nmap, SQLMap; Cryptography; Malware analysis; Reverse engineering; Compliance frameworks; Leadership; Problem-solving; Communication",Oversee penetration testing projects; Conduct security assessments and audits; Implement security policies; Mentor junior ethical hackers; Analyze malware and reverse engineer threats; Ensure compliance with ethical and legal standards,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-013,Ethical Hacker,Experienced,10+,"Python, C/C++, JavaScript; Bash, PowerShell scripting; Network and web security expert; Linux and Windows security; Penetration testing; Vulnerability assessment; Metasploit, Burp Suite, Nmap, Wireshark, SQLMap; Cryptography, SSL/TLS; Malware analysis and reverse engineering; Compliance (NIST, ISO); Leadership; Analytical skills; Communication",Lead advanced penetration testing projects; Perform vulnerability assessments; Conduct security audits; Develop and enforce security policies; Mentor junior ethical hackers; Analyze malware and perform reverse engineering; Ensure compliance with ethical and legal standards,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
ETH-E-014,Ethical Hacker,Experienced,11+,"Python, C/C++, JavaScript advanced; Bash, PowerShell scripting; Network and application security; Linux expert; Windows security expert; Penetration testing; Vulnerability assessment; Metasploit, Burp Suite, Nmap, SQLMap; Cryptography, SSL/TLS; Malware analysis and reverse engineering; Compliance frameworks; Leadership; Problem-solving; Project management",Manage and lead penetration testing engagements; Conduct security assessments and audits; Implement security policies and frameworks; Mentor and train junior ethical hackers; Analyze malware and perform reverse engineering; Ensure compliance with ethical and legal security standards,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
