JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
PMGR-E-012,Project Manager,Experienced,15-Oct,"Project strategy and execution; Scheduling and budgeting; Risk assessment and mitigation; Stakeholder management and negotiation; Team leadership and conflict resolution; Change management; Use of project management tools (MS Project, Primavera, Jira, Trello, Asana); Reporting and analytics; Strategic alignment; Cross-functional collaboration","Oversee strategic project execution; Manage budgets, resources, and timelines; Mitigate risks and ensure quality; Engage stakeholders and manage expectations; Lead teams and resolve conflicts; Provide reporting and analytics dashboards; Align projects with business strategy",Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-013,Project Manager,Experienced,15-Dec,"Advanced project management; Scheduling and budgeting; Risk and quality oversight; Stakeholder engagement and communication; Team leadership and conflict resolution; Change management; Use of MS Project, Primavera, Jira, Trello; Reporting and dashboards; Strategic alignment; Cross-functional collaboration","Lead multiple projects and programs; Manage resources, budgets, and schedules; Monitor risks and quality metrics; Engage stakeholders across functions; Oversee team performance and resolve conflicts; Provide dashboards and reporting; Ensure projects align with strategic goals",Project Planning; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-014,Project Manager,Experienced,14-Oct,"Project planning and execution; Budgeting and resource management; Risk assessment and mitigation; Stakeholder management; Team leadership; Conflict resolution; Change management; Use of project management tools (MS Project, Jira, Trello, Asana); Reporting and dashboards; Strategic alignment","Plan and execute projects end-to-end; Manage project budgets, timelines, and resources; Monitor risks and quality; Engage stakeholders and teams; Lead teams and resolve conflicts; Generate dashboards and reports for KPIs; Ensure alignment with organizational strategy",Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-015,Project Manager,Experienced,15-Nov,"Advanced project scheduling and planning; Budget and resource management; Risk management and mitigation; Stakeholder communication and engagement; Team leadership and mentoring; Conflict resolution; Change management; Reporting and analytics; Use of PM tools (MS Project, Jira, Trello, Asana); Strategic project alignment",Lead projects from initiation to closure; Manage budgets and allocate resources; Identify and mitigate project risks; Communicate with stakeholders; Lead and mentor project teams; Provide KPI reports and dashboards; Ensure projects align with business objectives,Project Planning; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-016,Project Manager,Experienced,16-Dec,"Strategic project management; Advanced budgeting and resource allocation; Risk and quality oversight; Stakeholder engagement; Team leadership and conflict resolution; Change management; Use of project management software (MS Project, Jira, Trello, Asana); Reporting and dashboards; Cross-functional collaboration; Strategic alignment",Oversee multiple projects and programs; Manage budgets and resources; Monitor risks and quality metrics; Engage stakeholders and manage expectations; Lead teams and resolve conflicts; Generate dashboards and reports; Ensure alignment with organizational goals,Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-017,Project Manager,Experienced,13-17,End-to-end project management; Scheduling and budgeting; Resource allocation; Risk assessment and mitigation; Stakeholder management; Team leadership; Conflict resolution; Change management; Reporting and dashboards; Cross-functional collaboration,"Plan, execute, and monitor projects; Manage resources and budgets; Identify and mitigate risks; Engage stakeholders; Lead teams and resolve conflicts; Track KPIs and generate reports; Ensure strategic alignment of projects",Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-018,Project Manager,Experienced,14-18,"Advanced project planning and execution; Budget and resource management; Risk and quality oversight; Stakeholder communication; Team leadership and mentoring; Conflict resolution; Change management; Reporting and dashboards; Use of project management tools (MS Project, Jira, Trello, Asana); Cross-functional collaboration",Lead projects from initiation to closure; Manage budgets and allocate resources; Identify and mitigate project risks; Engage stakeholders; Lead and mentor teams; Provide KPI dashboards and reports; Ensure alignment with organizational strategy,Project Planning; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-019,Project Manager,Experienced,15-20,Strategic project management; Budgeting and resource allocation; Risk and quality oversight; Stakeholder engagement and negotiation; Team leadership; Conflict resolution; Change management; Reporting and dashboards; Cross-functional collaboration; Strategic alignment,"Oversee multiple projects and programs; Manage budgets, resources, and timelines; Monitor risks and quality; Engage stakeholders and manage expectations; Lead teams and resolve conflicts; Generate KPI dashboards and reports; Ensure projects align with strategic objectives",Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-020,Project Manager,Experienced,15-20,End-to-end project management; Advanced scheduling and budgeting; Resource allocation; Risk assessment and mitigation; Stakeholder management and communication; Team leadership; Conflict resolution; Change management; Reporting and dashboards; Cross-functional collaboration,Lead complex projects and programs; Manage resources and budgets; Assess and mitigate risks; Communicate effectively with stakeholders; Lead teams and resolve conflicts; Provide KPI dashboards and reporting; Ensure strategic alignment with business goals,Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PY-F-001,Python Developer,Fresher,0-1,Python basics; Data types; Control flow; Functions; Exception handling; OOP basics; Django basics; Flask basics; Pandas basics; NumPy basics; Matplotlib basics; HTML basics; CSS basics; JavaScript basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork,Assist in developing Python applications; Implement basic functions and classes; Support web application development using Django or Flask; Perform data manipulation and visualization tasks; Collaborate with team members on coding projects; Document code and project processes; Follow version control practices with Git; Write basic unit tests,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-002,Python Developer,Fresher,0-1,Python basics; OOP basics; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork; Problem-solving,Support Python project development; Assist in web application coding using frameworks; Perform data analysis and visualization; Write basic unit tests; Collaborate with team on coding tasks; Document project workflows; Follow version control best practices,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-003,Python Developer,Fresher,0-1,Python basics; Data types; Control flow; Functions; OOP; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork; Adaptability,Assist in Python application development; Implement basic programming logic; Support web app development with Django/Flask; Perform data analysis using Pandas and NumPy; Create visualizations with Matplotlib; Write unit tests; Document code and processes; Collaborate with team members,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-004,Python Developer,Fresher,0-1,Python basics; OOP basics; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork; Problem-solving,Assist in Python backend development; Support web applications using Django or Flask; Perform basic data processing and visualization; Write and run unit tests; Collaborate with team members; Document coding standards and workflows; Follow Git version control practices,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-005,Python Developer,Fresher,0-1,Python basics; OOP basics; Control flow; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; PyTest basics; Communication; Teamwork; Problem-solving,Support development of Python projects; Implement basic functionalities; Assist in web application development with frameworks; Perform data analysis and visualization; Write unit tests using PyTest; Document project code and processes; Collaborate with team members,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-006,Python Developer,Fresher,0-1,Python basics; OOP basics; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork; Problem-solving; Adaptability,Assist in Python backend development; Support framework-based web applications; Perform data processing and visualization tasks; Write unit tests; Collaborate with team members; Document coding practices; Follow Git version control,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-007,Python Developer,Fresher,0-1,Python basics; Data types; Control flow; Functions; OOP basics; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; PyTest basics; Communication; Teamwork,Assist in Python project implementation; Develop basic web applications using frameworks; Perform data analysis and visualization tasks; Write unit tests with PyTest; Collaborate with team members; Document coding processes; Follow Git version control guidelines,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-008,Python Developer,Fresher,0-1,Python basics; OOP basics; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork; Problem-solving,Support development of Python applications; Assist in web framework projects; Perform basic data processing and visualization; Write and run unit tests; Collaborate with team members; Document workflows; Follow Git version control,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-009,Python Developer,Fresher,0-1,Python basics; OOP basics; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; PyTest basics; Communication; Teamwork; Problem-solving,Assist in Python backend development; Support web application projects using frameworks; Perform data analysis and visualization tasks; Write unit tests using PyTest; Collaborate with team members; Document code and workflows; Follow version control practices with Git,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-F-010,Python Developer,Fresher,0-1,Python basics; OOP basics; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork; Problem-solving; Adaptability,Assist in Python projects; Support web applications with Django/Flask; Perform data analysis and visualizations; Write and run unit tests; Collaborate with team members; Document coding workflows; Follow Git version control practices,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP
PY-E-011,Python Developer,Experienced,3+,Python advanced; Async programming; Decorators; Generators; Django advanced; Flask advanced; FastAPI; TensorFlow basics; Scikit-learn; PyTorch basics; REST APIs; GraphQL basics; PostgreSQL; MySQL; NoSQL basics; SQLAlchemy; Docker basics; AWS basics; PyTest advanced; Leadership; Team collaboration,Develop and maintain advanced Python applications; Build RESTful APIs and GraphQL endpoints; Integrate Python with data science frameworks; Implement database optimizations; Follow DevOps practices with Docker and AWS; Mentor junior developers; Perform unit and integration testing with PyTest; Collaborate with cross-functional teams,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-012,Python Developer,Experienced,4+,Python advanced; Async programming; Decorators; Generators; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes basics; AWS basics; Leadership; Team collaboration,"Design and develop advanced Python applications; Implement RESTful APIs and GraphQL endpoints; Integrate Python with ML frameworks; Manage database optimization and migrations; Implement DevOps practices with Docker, AWS, and Kubernetes; Mentor junior developers; Conduct unit and integration testing; Collaborate with cross-functional teams",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-013,Python Developer,Experienced,5+,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration,"Lead Python development projects; Design REST APIs and GraphQL endpoints; Integrate with data science frameworks; Optimize databases and queries; Implement DevOps pipelines using Docker, Kubernetes, AWS; Mentor and guide junior developers; Perform testing and code reviews; Collaborate with cross-functional teams",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-014,Python Developer,Experienced,5+,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Project management,"Architect Python applications; Build advanced APIs and integrate with ML frameworks; Manage database optimizations; Implement DevOps practices using Docker, Kubernetes, AWS; Lead development teams; Mentor junior developers; Conduct testing and code review; Collaborate with stakeholders",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-015,Python Developer,Experienced,6+,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration; Innovation management,"Lead Python development projects; Design and implement advanced APIs; Integrate Python applications with ML frameworks; Optimize databases and queries; Implement DevOps pipelines with Docker, Kubernetes, AWS; Mentor junior developers; Conduct testing, reviews, and quality assurance; Collaborate with cross-functional teams; Drive innovation initiatives",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-016,Python Developer,Experienced,7-May,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration,Architect and develop Python applications; Design REST and GraphQL APIs; Integrate with ML frameworks; Optimize database queries; Implement Docker/Kubernetes/AWS solutions; Mentor teams; Conduct testing and code reviews; Collaborate with stakeholders,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-017,Python Developer,Experienced,6+,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Project management,Lead Python application architecture and development; Build REST and GraphQL APIs; Integrate ML frameworks; Optimize database performance; Implement DevOps with Docker/Kubernetes/AWS; Mentor developers; Conduct testing and reviews; Collaborate with teams and stakeholders,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-018,Python Developer,Experienced,5+,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration; Innovation management,Lead Python application projects; Design and implement APIs; Integrate ML frameworks; Optimize databases; Implement DevOps pipelines; Mentor junior developers; Conduct testing and code reviews; Collaborate with cross-functional teams; Drive innovation initiatives,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-019,Python Developer,Experienced,6+,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Project management; Innovation management,Lead architecture and development of Python applications; Build advanced REST and GraphQL APIs; Integrate ML frameworks; Optimize databases; Implement DevOps pipelines with Docker/Kubernetes/AWS; Mentor and manage teams; Conduct testing and code reviews; Collaborate with stakeholders; Drive innovation initiatives,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
PY-E-020,Python Developer,Experienced,5+,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration; Innovation,Architect and implement Python applications; Develop REST and GraphQL APIs; Integrate ML frameworks; Optimize databases; Implement DevOps practices with Docker/Kubernetes/AWS; Mentor junior developers; Conduct testing and code reviews; Collaborate with teams and stakeholders; Drive innovation,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest
QA001,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing: Functional, Regression, Black-box; Selenium basics; Appium basics; Cucumber awareness; Java; Python; JavaScript basics; JIRA; Bugzilla; TestRail; Postman basics; SoapUI basics; Test Documentation",Assist in executing manual test cases; Document defects; Support test planning; Collaborate with development team to ensure software quality,QA; Software Testing; Automation; Fresher; Entry-Level; Manual Testing; Selenium; Appium
QA002,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Basic Automation: Selenium WebDriver, Appium, Cucumber; Java; Python; JavaScript; JIRA; Bugzilla; Test Documentation; Postman basics; SoapUI basics",Support QA team in manual testing; Log defects; Assist in automation script creation for web and mobile applications,QA; Software Testing; Fresher; Bangalore; Manual Testing; Automation; Selenium
QA003,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Basic Automation: Selenium, Appium, Cucumber; Java; Python; JavaScript; JIRA; TestRail; Postman basics; SoapUI basics; Test Documentation",Execute test cases; Assist in defect tracking; Support test documentation; Collaborate with developers to ensure application quality,QA; Software Testing; Automation; Fresher; Hyderabad; Manual Testing
QA004,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Automation Awareness: Selenium, Appium, Cucumber; Java; Python; JavaScript basics; JIRA; Bugzilla; TestRail; Postman basics; SoapUI basics; Test Documentation",Assist in testing web and mobile applications; Prepare test cases; Log defects; Collaborate on QA documentation,QA; Software Testing; Fresher; Pune; Manual Testing; Automation
QA005,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Automation Tools Awareness: Selenium, Appium, Cucumber; Java; Python; JavaScript; JIRA; Bugzilla; Postman basics; SoapUI basics; Test Documentation",Perform manual tests; Assist in test automation script preparation; Maintain test documentation; Support defect management,QA; Testing; Software; Fresher; Chennai; Manual Testing; Automation
QA006,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Automation: Selenium, Appium, Cucumber basic knowledge; Java; Python; JavaScript; JIRA; TestRail; Postman basics; SoapUI basics; Test Documentation",Assist QA teams in testing applications; Document defects; Support test planning; Perform basic automation testing,QA; Software Testing; Fresher; Remote; Manual Testing; Automation
QA007,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Basic Automation: Selenium, Appium, Cucumber; Java; Python; JavaScript; JIRA; Bugzilla; Postman basics; SoapUI basics; Test Documentation",Support testing efforts for software applications; Log defects; Assist in writing test scripts; Prepare reports,QA; Automation; Software; Fresher; Remote; Manual Testing; Selenium
QA008,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Automation Awareness: Selenium, Appium, Cucumber; Java; Python; JavaScript basics; JIRA; TestRail; Postman; SoapUI; Test Documentation",Perform manual testing; Support QA documentation; Assist in automation; Collaborate with developers to ensure quality,QA; Software Testing; Fresher; Bangalore; Manual Testing; Automation
QA009,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Basic Automation: Selenium, Appium, Cucumber; Java; Python; JavaScript; JIRA; TestRail; Postman; SoapUI; Test Documentation",Support QA processes; Perform manual testing; Create basic automation scripts; Assist in defect reporting,QA; Software Testing; Automation; Fresher; Remote; Manual Testing
QA010,QA Engineer - Fresher,Entry-Level,0–1 year,"Manual Testing; Basic Automation: Selenium, Appium, Cucumber; Java; Python; JavaScript; JIRA; TestRail; Postman; SoapUI; Test Documentation",Perform manual testing; Assist in test documentation; Support automation; Collaborate with team,QA; Software Testing; Fresher; Remote; Manual Testing; Automation
QA011,QA Engineer - Experienced,Senior-Level,4–8 years,"Test Automation: Selenium, Appium, Cucumber, JUnit, TestNG; Performance Testing: JMeter; CI/CD Integration: Jenkins, GitLab CI/CD, Bamboo; Programming: Java, Python, C#, JavaScript; API & Mobile Testing: Postman, SoapUI, Appium; Bug & Test Management: JIRA, Bugzilla, Quality Center; Test Documentation & Reporting",Lead QA initiatives; Design and maintain automated test frameworks; Perform performance and security testing; Mentor junior QA engineers,QA; Software Testing; Automation; Senior-Level; Remote; Leadership; Selenium; Performance Testing
QA012,QA Engineer - Experienced,Senior-Level,5–9 years,"Test Automation: Selenium, Appium, Cucumber, TestNG; CI/CD: Jenkins, GitLab CI/CD, Bamboo; Performance & Security Testing: Load, stress, security testing; API Testing: Postman, SoapUI; Programming: Java, Python, C#, JavaScript; Bug Tracking: JIRA, Bugzilla; Test Documentation & Reporting",Develop and maintain automated test scripts; Integrate testing into CI/CD pipelines; Perform advanced testing; Manage QA projects,QA; Automation; Software; Senior-Level; New York; CI/CD; Performance Testing
QA013,QA Engineer - Experienced,Senior-Level,6+ years,"Automation: Selenium, Appium, Cucumber, TestNG; Performance Testing: JMeter; CI/CD: Jenkins, GitLab CI/CD; API & Mobile Testing: Postman, SoapUI, Appium; Programming: Java, Python, C#, JavaScript; Bug Tracking & Documentation: JIRA, TestRail",Lead QA automation projects; Oversee manual and automated testing; Integrate tests into CI/CD; Mentor junior QA engineers,QA; Automation; Software; Senior-Level; Remote; Leadership; Jenkins
QA014,QA Engineer - Experienced,Senior-Level,5–10 years,"Test Automation: Selenium, Appium, Cucumber, TestNG; Performance & Security Testing: JMeter, LoadRunner; CI/CD: Jenkins, GitLab CI/CD, Bamboo; Programming: Java, Python, C#, JavaScript; API & Mobile Testing: Postman, SoapUI, Appium; Bug Tracking & Documentation: JIRA, TestRail, ALM",Design and maintain automated test frameworks; Conduct performance and security testing; Integrate testing in CI/CD pipelines; Lead QA teams,QA; Automation; Software; Senior-Level; San Francisco; Leadership; Performance Testing
QA015,QA Engineer - Experienced,Senior-Level,6–10 years,"Automation: Selenium, Appium, Cucumber, JUnit, TestNG; CI/CD: Jenkins, GitLab CI/CD, Bamboo; Performance & Security Testing: Load, stress, vulnerability testing; API & Mobile Testing: Postman, SoapUI, Appium; Programming: Java, Python, C#, JavaScript; Bug Tracking & Documentation: JIRA, Bugzilla, TestRail","Lead QA projects; Develop and optimize automation frameworks; Perform advanced API, performance, and security testing; Mentor junior testers",QA; Automation; Software; Senior-Level; Remote; Leadership; Mentoring
